Unnamed: 0,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W],Multipliers
GF_RESTAURANT,157259.18,180848.05,123.37,11.530999999999999,13.261,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 10:50:00,24.0,23.99,0.00911,31.8,0.01908,3.907,0.0,1.0
GF_LOBBY_1,378.76,435.58,59.53,0.027999999999999997,0.032,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 14:40:00,24.0,24.0,0.008329999999999999,33.0,0.01908,0.005,0.0,1.0
GF_LOBBY_2,3937.87,4528.55,107.6,0.289,0.332,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 09:50:00,24.0,24.0,0.00818,31.08,0.01908,0.03,0.0,1.0
GF_RETAIL_1,15637.33,17982.93,166.7,1.146,1.318,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 10:30:00,24.0,24.0,0.00838,31.57,0.01908,0.158,0.0,1.0
GF_LOBBY_3,3163.26,3637.75,46.34,0.23199999999999998,0.267,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 15:20:00,24.0,24.0,0.00843,32.91,0.01908,0.055999999999999994,0.0,1.0
GF_RETAIL_2,19472.31,22393.15,128.74,1.4269999999999998,1.641,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 16:10:00,24.0,24.0,0.0085,32.66,0.01908,0.254,0.0,1.0
1F_MLOBBY_1,65207.43,74988.55,129.96,4.7780000000000005,5.495,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 16:20:00,24.0,24.0,0.00815,32.59,0.01908,0.413,0.0,1.0
1F_LOBBY_3,1387.43,1595.55,45.63,0.102,0.11699999999999999,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 17:10:00,24.0,24.0,0.00843,32.26,0.01908,0.025,0.0,1.0
1F_LOBBY_2,3381.09,3888.25,37.87,0.248,0.285,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 18:20:00,24.0,24.0,0.00852,31.64,0.01908,0.073,0.0,1.0
1F_LOBBY_1,1113.09,1280.05,47.36,0.08199999999999999,0.094,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 07:00:00,24.0,24.0,0.00836,28.72,0.01908,0.019,0.0,1.0
1F_RESTAURANT,106512.72,122489.63,134.58,7.81,8.982000000000001,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 10:30:00,24.0,23.99,0.00902,31.57,0.01908,2.426,0.0,1.0
1F_LOBBY_4,2323.8,2672.37,40.94,0.17,0.196,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 08:50:00,24.0,24.0,0.00848,30.27,0.01908,0.047,0.0,1.0
1F_MLOBBY_2,28836.83,33162.36,109.71,2.113,2.43,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 10:10:00,24.0,24.0,0.00818,31.33,0.01908,0.21600000000000003,0.0,1.0
1F_MOFFICE,11127.47,12796.59,155.78,0.815,0.938,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 16:30:00,24.0,24.0,0.008159999999999999,32.53,0.01908,0.065,0.0,1.0
2F_LOBBY_1,3125.61,3594.45,35.01,0.22899999999999998,0.263,HONG KONG ANN CLG 1% CONDNS DB=>MWB,7/21 15:30:00,24.0,24.0,0.00856,32.86,0.01908,0.073,0.0,1.0
