Unnamed: 0,HVAC Zone Eq & Other Sensible Air Heating [kWh],HVAC Zone Eq & Other Sensible Air Cooling [kWh],HVAC Terminal Unit Sensible Air Heating [kWh],HVAC Terminal Unit Sensible Air Cooling [kWh],HVAC Input Heated Surface Heating [kWh],HVAC Input Cooled Surface Cooling [kWh],People Sensible Heat Addition [kWh],Lights Sensible Heat Addition [kWh],Equipment Sensible Heat Addition [kWh],Window Heat Addition [kWh],Interzone Air Transfer Heat Addition [kWh],Infiltration Heat Addition [kWh],Opaque Surface Conduction and Other Heat Addition [kWh],Equipment Sensible Heat Removal [kWh],Window Heat Removal [kWh],Interzone Air Transfer Heat Removal [kWh],Infiltration Heat Removal [kWh],Opaque Surface Conduction and Other Heat Removal [kWh],Multipliers
GF_RESTAURANT,0.0,0.0,0.0,-719702.1,0.0,0.0,293210.412,135642.646,111705.709,190725.33399999997,0.0,0.0,1.169,0.0,-8209.86,0.0,0.0,-3372.15,1.0
GF_LOBBY_1,0.0,0.0,0.0,-1326.87,0.0,0.0,145.908,299.138,0.0,0.0,0.0,0.0,881.825,0.0,0.0,0.0,0.0,0.0,1.0
GF_LOBBY_2,0.0,0.0,0.003,-11328.78,0.0,0.0,850.439,1720.649,0.0,5589.843000000001,0.0,0.0,3322.055,0.0,-154.21,0.0,0.0,0.0,1.0
GF_RETAIL_1,0.0,0.0,0.0,-63710.48,0.0,0.0,7730.022,7965.45,14056.677,41906.762,0.0,0.0,0.797,0.0,-2510.72,0.0,0.0,-5437.72,1.0
GF_LOBBY_3,0.0,0.0,0.0,-10785.83,0.0,0.0,1603.7179999999998,3209.0559999999996,0.0,0.0,0.0,0.0,5973.056,0.0,0.0,0.0,0.0,0.0,1.0
GF_RETAIL_2,0.0,0.0,0.0,-79889.24,0.0,0.0,12906.961000000001,12844.136999999999,22666.124,34245.392,0.0,0.0,1.065,0.0,-1671.54,0.0,0.0,-1101.84,1.0
1F_MLOBBY_1,0.0,0.0,4.0889999999999995,-164154.07,0.0,0.0,11817.663,30022.674,0.0,119316.097,0.0,0.0,4076.222,0.0,-1082.67,0.0,0.0,-1.48,1.0
1F_LOBBY_3,0.0,0.0,0.006999999999999999,-6380.63,0.0,0.0,766.16,1429.461,0.0,0.0,0.0,0.0,4185.005999999999,0.0,0.0,0.0,0.0,0.0,1.0
1F_LOBBY_2,0.0,0.0,0.066,-16249.07,0.0,0.0,2262.1710000000003,4197.624,0.0,0.0,0.0,0.0,9789.205,0.0,0.0,0.0,0.0,0.0,1.0
1F_LOBBY_1,0.0,0.0,0.004,-5104.82,0.0,0.0,589.518,1104.935,0.0,0.0,0.0,0.0,3410.36,0.0,0.0,0.0,0.0,0.0,1.0
