,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-01-13 01:00:00,7.0,7.0,7.0,7.0
2013-01-13 02:00:00,7.0,7.0,7.0,7.0
2013-01-13 03:00:00,7.0,7.0,7.0,7.0
2013-01-13 04:00:00,7.0,7.0,7.0,7.0
2013-01-13 05:00:00,7.0,7.0,7.0,7.0
2013-01-13 06:00:00,7.0,7.0,7.0,7.0
2013-01-13 07:00:00,7.0,7.0,7.0,7.0
2013-01-13 08:00:00,7.0,7.0,7.0,7.0
2013-01-13 09:00:00,7.0,7.0,7.0,7.0
2013-01-13 10:00:00,7.0,7.0,7.0,7.0
2013-01-13 11:00:00,7.0,7.0,7.0,7.0
2013-01-13 12:00:00,7.0,7.0,7.0,7.0
2013-01-13 13:00:00,7.0,7.0,7.0,7.0
2013-01-13 14:00:00,7.0,7.0,7.0,7.0
2013-01-13 15:00:00,7.0,7.0,7.0,7.0
2013-01-13 16:00:00,7.0,7.0,7.0,7.0
2013-01-13 17:00:00,7.0,7.0,7.0,7.0
2013-01-13 18:00:00,7.0,7.0,7.0,7.0
2013-01-13 19:00:00,7.0,7.0,7.0,7.0
2013-01-13 20:00:00,7.0,7.0,7.0,7.0
2013-01-13 21:00:00,7.0,7.0,7.0,7.0
2013-01-13 22:00:00,7.0,7.0,7.0,7.0
2013-01-13 23:00:00,7.0,7.0,7.0,7.0
2013-01-14 00:00:00,7.0,7.0,7.0,7.0
2013-07-20 01:00:00,33.0,33.0,33.0,33.0
2013-07-20 02:00:00,33.0,33.0,33.0,33.0
2013-07-20 03:00:00,33.0,33.0,33.0,33.0
2013-07-20 04:00:00,33.0,33.0,33.0,33.0
2013-07-20 05:00:00,33.0,33.0,33.0,33.0
2013-07-20 06:00:00,33.0,33.0,33.0,33.0
2013-07-20 07:00:00,33.0,33.0,33.0,33.0
2013-07-20 08:00:00,33.0,33.0,33.0,33.0
2013-07-20 09:00:00,33.0,33.0,33.0,33.0
2013-07-20 10:00:00,33.0,33.0,33.0,33.0
2013-07-20 11:00:00,33.0,33.0,33.0,33.0
2013-07-20 12:00:00,33.0,33.0,33.0,33.0
2013-07-20 13:00:00,33.0,33.0,33.0,33.0
2013-07-20 14:00:00,33.0,33.0,33.0,33.0
2013-07-20 15:00:00,33.0,33.0,33.0,33.0
2013-07-20 16:00:00,33.0,33.0,33.0,33.0
2013-07-20 17:00:00,33.0,33.0,33.0,33.0
2013-07-20 18:00:00,33.0,33.0,33.0,33.0
