,VR1:VRF Heat Pump Cooling COP [](Hourly),VR2:VRF Heat Pump Cooling COP [](Hourly),VR3:VRF Heat Pump Cooling COP [](Hourly),VR4:VRF Heat Pump Cooling COP [](Hourly),VR5:VRF Heat Pump Cooling COP [](Hourly)
2013-01-13 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 08:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 09:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 10:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 11:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 12:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 13:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 14:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 15:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 16:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 17:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 18:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 19:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 20:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 21:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 07:00:00,4.79247361241071,4.2054698090201805,4.3417612611544705,3.7763012701051597,4.817423723265
2013-07-20 08:00:00,3.99808204852704,3.73157692106514,3.6605965464159,3.9943032535202794,4.00288369431183
2013-07-20 09:00:00,3.8578393587091697,3.6865533183162498,3.5667336819391697,3.88444152760655,3.8470998921268498
2013-07-20 10:00:00,3.97309987555729,3.6578431894119,3.75741819174188,3.84725402500881,3.83564041008007
2013-07-20 11:00:00,4.39670755468086,3.8736934548723103,3.99726622838292,4.08013001810592,4.01480954356174
2013-07-20 12:00:00,4.70591571700817,4.23919300152268,4.07137068588889,4.42067035362318,4.55255731105003
2013-07-20 13:00:00,4.83418117184561,4.4039399189045,4.09839771082019,4.5304085839297406,4.775275224385981
2013-07-20 14:00:00,4.86834599316067,4.42907209775883,4.10228245868852,4.52054421129421,4.79745273287069
2013-07-20 15:00:00,4.8909375360082,4.44452374950426,4.12725667472715,4.45856990726255,4.8178395457495
2013-07-20 16:00:00,4.91253459356514,4.46289963406104,4.165539585174759,4.44006884962489,4.85625201847019
2013-07-20 17:00:00,4.91852699625994,4.465814316651651,4.24211524726781,4.63250715933954,4.89208593718793
2013-07-20 18:00:00,4.86974825628756,4.40775765853375,4.35978401709566,4.80340501917769,4.868762835202769
2013-07-20 19:00:00,4.709937292938849,4.28013427115882,4.44726179110195,4.903894687812531,4.75979429768476
2013-07-20 20:00:00,4.637275415730151,4.2160185901052305,4.47307259895596,4.9626810911903,4.70295317761534
2013-07-20 21:00:00,4.60003550484354,4.17421464868002,4.48081531772432,4.91519819775717,4.670919361447121
2013-07-20 22:00:00,4.578090229218519,4.14209483965785,4.484377044885231,4.84556224788633,4.64608744455197
2013-07-20 23:00:00,2.97808540998574,2.66543743916124,3.38180292066988,0.0,2.9444424308199797
2013-07-21 00:00:00,3.23081594815031,2.94237846301094,3.28159123804573,0.0,3.0967827733946196
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 09:00:00,0.0,0.0,0.0,0.347872175340105,0.0
2013-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 12:00:00,0.0,0.0,0.0,3.36325661414569,0.0
2013-01-01 13:00:00,0.0,0.0,0.504935566636296,3.44006124687832,1.6739668229270601
2013-01-01 14:00:00,0.0,2.0479438779496597,3.0526764573016103,3.44822656714556,3.3726502059881605
2013-01-01 15:00:00,0.0,3.07972433895993,0.509938089256755,3.46897653884067,3.3772974228195296
2013-01-01 16:00:00,0.0,0.0,0.0,3.44690816786116,1.68209033491937
2013-01-01 17:00:00,0.0,0.0,0.0,3.4111205079066607,0.0
2013-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 19:00:00,0.0,0.0,0.0,2.8953844087727005,0.0
2013-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 09:00:00,0.0,0.0,3.1190141265034104,0.0,0.292552243395769
2013-01-02 10:00:00,0.0,2.70861344266737,3.1164550797433703,0.0,3.63243766163916
2013-01-02 11:00:00,3.4925852752318702,3.33698105004791,3.1797169333473803,2.81048730778867,3.75718845404177
2013-01-02 12:00:00,3.56718635449431,3.3968304396522795,3.2477229736370297,3.46685607009346,3.8251188560800498
2013-01-02 13:00:00,3.5315879742495,3.3391707941083597,3.1956665462824,3.5218403876468503,3.76081196024989
2013-01-02 14:00:00,3.6188520915619904,3.4430477327832203,3.31035324169577,3.56115263060839,3.8847874798374105
2013-01-02 15:00:00,3.64137111743563,3.4684781208232702,3.3386605490683503,3.5744792546319,3.9121514512794398
2013-01-02 16:00:00,3.6291205602428502,3.4644691608013303,3.32402952527122,3.5632315605917,3.9023826093138396
2013-01-02 17:00:00,3.58647700136976,3.4442345831800596,3.27555959901079,3.49471778802994,3.87525073525679
2013-01-02 18:00:00,0.0,2.7236231651646,3.1202208433954604,3.3943086398866003,3.62940096361084
2013-01-02 19:00:00,0.0,0.0,3.1054581954168903,3.1735211564027703,0.0
2013-01-02 20:00:00,0.0,0.0,3.1136618355042005,3.84998594895133,0.0
2013-01-02 21:00:00,0.0,0.0,1.0378419957348899,0.6315190186148261,0.0
2013-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 09:00:00,0.0,0.809693244095904,3.14545449138089,0.0,1.4497248316879199
2013-01-03 10:00:00,3.0391982443633596,3.3737243637520296,3.2456704275523003,1.9408833478391,3.81066545149809
2013-01-03 11:00:00,3.65855949720224,3.4396555882796203,3.3591686965187204,3.5760810140880297,3.89862255244334
2013-01-03 12:00:00,3.6264633562543196,3.40945748470213,3.33808322541743,3.6055347659360404,3.89001386844183
2013-01-03 13:00:00,3.57009205832722,3.33617824704124,3.2641169840499504,3.61769969434435,3.7533919441143397
2013-01-03 14:00:00,3.65434012372185,3.4391198150462996,3.35745899960471,3.63034201195899,3.89973110860753
2013-01-03 15:00:00,3.63307323479582,3.424704318991,3.34335478250979,3.59563528518617,3.8499962760308906
2013-01-03 16:00:00,3.60451751212534,3.3955082116766695,3.32409774403787,3.57177318510686,3.7908006715912794
2013-01-03 17:00:00,3.6762929630971404,3.4703172643059803,3.3885991791209,3.61439605358693,3.85474829483823
2013-01-03 18:00:00,2.9765376632912006,3.36039693652965,3.1879647529785,3.58456892455059,3.7305130433306894
2013-01-03 19:00:00,0.0,0.0,3.18730008038293,3.8097329135979505,0.6055053455511811
2013-01-03 20:00:00,0.0,0.0,3.19176957501817,3.86761255155306,0.0
2013-01-03 21:00:00,0.0,0.0,3.18416410017349,0.6326578354332459,0.0
2013-01-03 22:00:00,0.0,0.0,3.18131666029931,0.0,0.0
2013-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 08:00:00,0.0,0.0,0.237016495947432,0.0,0.0
2013-01-04 09:00:00,0.0,0.5242007341035949,3.1126062628169398,0.5114361791339,2.03519774421357
2013-01-04 10:00:00,0.0,3.2100163631108796,3.10721826359505,0.0,3.63685540368585
