,VR1:VRF Heat Pump Part Load Ratio [](Hourly),VR2:VRF Heat Pump Part Load Ratio [](Hourly),VR3:VRF Heat Pump Part Load Ratio [](Hourly),VR4:VRF Heat Pump Part Load Ratio [](Hourly),VR5:VRF Heat Pump Part Load Ratio [](Hourly)
2013-01-13 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-13 07:00:00,0.23541666666666697,0.22049704867862302,0.21875,0.0,0.21642145456439202
2013-01-13 08:00:00,0.379924164524551,0.33575495968231894,0.35783403842909,0.355483765753293,0.34445836919122497
2013-01-13 09:00:00,0.270337288238917,0.25,0.25770519405232395,0.261303834144516,0.25
2013-01-13 10:00:00,0.25009634980768697,0.25,0.25,0.25017007895036303,0.25
2013-01-13 11:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 12:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 13:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 14:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 15:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 16:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 17:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 18:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 19:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 20:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 21:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 22:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-13 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-14 00:00:00,0.166666666666667,0.0,0.0,0.0,0.0
2013-07-20 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-07-20 07:00:00,0.49028597785063605,0.49810488089966,0.5471796749896349,0.356901763320707,0.588460093654532
2013-07-20 08:00:00,1.0014689174734002,0.961679440688902,1.00156548294147,0.995626263722878,1.0
2013-07-20 09:00:00,0.996811838176835,0.9151864586355629,0.974796218680171,0.9962148774495059,1.0
2013-07-20 10:00:00,0.9412796272800021,0.9215234673864978,0.881662512301748,0.9995122416244491,1.0
2013-07-20 11:00:00,0.778232476910469,0.826774003686728,0.7866006819275141,0.885237499647591,0.916423694733907
2013-07-20 12:00:00,0.659183436717397,0.670143751377964,0.7610002961015859,0.754626784272884,0.704458429533255
2013-07-20 13:00:00,0.6112828911715379,0.600128865231902,0.752632217209121,0.7196526326647,0.6294418781469721
2013-07-20 14:00:00,0.596909887987256,0.5943039391113001,0.751608784090938,0.727953115962808,0.628829356683028
2013-07-20 15:00:00,0.581499511128784,0.5831195284936801,0.7411950419055541,0.751974073345305,0.6186557439365871
2013-07-20 16:00:00,0.554698693970301,0.559304018171724,0.725871212088397,0.7566245565137091,0.5925990453852961
2013-07-20 17:00:00,0.530395642720181,0.520983770298542,0.692391321235902,0.6712976402134979,0.552335763480512
2013-07-20 18:00:00,0.4874559050149821,0.47090926780033904,0.633282681169767,0.585458497420807,0.49444158158987395
2013-07-20 19:00:00,0.426721137705954,0.424479254177381,0.57335556245328,0.556935469758826,0.4420805689161161
2013-07-20 20:00:00,0.40727164482588396,0.406388875370242,0.555872348605322,0.542140351901974,0.422841899310401
2013-07-20 21:00:00,0.39930726873880895,0.39697141265603003,0.5478274632292721,0.5296350141141599,0.41444982739832104
2013-07-20 22:00:00,0.39502035953430603,0.39049513540066993,0.542722491876116,0.493337146681085,0.408850366194827
2013-07-20 23:00:00,0.239583333333333,0.234375,0.30021090120116806,0.0,0.234952716836034
2013-07-21 00:00:00,0.25,0.25,0.280390479559323,0.0,0.25
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,0.250277282730971,0.23124301876323897,0.253772991471004,0.0,0.22755931623190198
2013-01-01 09:00:00,0.166666666666667,0.166666666666667,0.166666666666667,0.15261678745746302,0.166666666666667
2013-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 12:00:00,0.0,0.0,0.0,0.25,0.0
2013-01-01 13:00:00,0.0,0.0,0.041666666666666664,0.25,0.125
2013-01-01 14:00:00,0.0,0.166666666666667,0.25,0.25,0.25
2013-01-01 15:00:00,0.0,0.25,0.041666666666666664,0.25,0.25
2013-01-01 16:00:00,0.0,0.0,0.0,0.25,0.125
2013-01-01 17:00:00,0.0,0.0,0.0,0.25,0.0
2013-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 19:00:00,0.0,0.0,0.0,0.18703703703703697,0.0
2013-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-02 08:00:00,0.26387727626161,0.25092614984803896,0.24051266737538698,0.240743444240807,0.22777777777777802
2013-01-02 09:00:00,0.125,0.0,0.25,0.08333333333333333,0.020833333333333332
2013-01-02 10:00:00,0.0,0.208333333333333,0.25,0.0,0.25
2013-01-02 11:00:00,0.25,0.25,0.25,0.208333333333333,0.25
2013-01-02 12:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 13:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 14:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 15:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 16:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 17:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-02 18:00:00,0.0,0.208333333333333,0.25,0.25,0.25
2013-01-02 19:00:00,0.0,0.0,0.25,0.208333333333333,0.0
2013-01-02 20:00:00,0.166666666666667,0.0,0.25,0.25,0.0
2013-01-02 21:00:00,0.25,0.0,0.25,0.041666666666666664,0.0
2013-01-02 22:00:00,0.25,0.0,0.25,0.0,0.0
2013-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-03 08:00:00,0.258313156216315,0.242823605531078,0.245719933178663,0.25000632896546104,0.24166666666666697
2013-01-03 09:00:00,0.08333333333333333,0.0625,0.25,0.0,0.1
2013-01-03 10:00:00,0.21180555555555605,0.25,0.25,0.138888888888889,0.25
2013-01-03 11:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 12:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 13:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 14:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 15:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 16:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 17:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-03 18:00:00,0.208333333333333,0.25,0.25,0.25,0.25
2013-01-03 19:00:00,0.0,0.0,0.25,0.25,0.041666666666666664
2013-01-03 20:00:00,0.0,0.0,0.25,0.25,0.0
2013-01-03 21:00:00,0.0,0.0,0.25,0.041666666666666664,0.0
2013-01-03 22:00:00,0.0,0.0,0.25,0.0,0.0
2013-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0
2013-01-04 08:00:00,0.259523375875884,0.137500099909955,0.237851131941047,0.08456808367993525,0.0193606638183904
2013-01-04 09:00:00,0.0,0.041666666666666664,0.25,0.03333333333333333,0.142708333333333
2013-01-04 10:00:00,0.0,0.25,0.25,0.0,0.25
2013-01-04 11:00:00,0.208333333333333,0.25,0.25,0.0,0.25
2013-01-04 12:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-04 13:00:00,0.208333333333333,0.25,0.25,0.25,0.25
2013-01-04 14:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-04 15:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-04 16:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-04 17:00:00,0.25,0.25,0.25,0.25,0.25
2013-01-04 18:00:00,0.18055555555555605,0.0,0.25,0.125,0.0
